"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 04 09:53:56 UTC 2026","Thu Jun 04 09:53:56 UTC 2026","19","testcases","test_order","","","","test_create_order_except[test_cre购物车id为空]",""
"passed","Thu Jun 04 09:53:55 UTC 2026","Thu Jun 04 09:53:55 UTC 2026","44","testcases","test_order","","","","test_get_order",""
"passed","Thu Jun 04 09:53:56 UTC 2026","Thu Jun 04 09:53:56 UTC 2026","13","testcases","test_order","","","","test_create_order_except[test_cre购物车id为字符串]",""
"passed","Thu Jun 04 09:53:56 UTC 2026","Thu Jun 04 09:53:56 UTC 2026","23","testcases","test_product","","","","test_create_product_by_sn[cre_test请求体缺少必要参数]",""
"passed","Thu Jun 04 09:53:56 UTC 2026","Thu Jun 04 09:53:56 UTC 2026","43","testcases","test_product","","","","test_create_product_by_sn[cre_test正常创建商品]",""
"passed","Thu Jun 04 09:53:57 UTC 2026","Thu Jun 04 09:53:57 UTC 2026","15","testcases","test_product","","","","test_delete_product_by_sn[del_test删除不存在商品]",""
"passed","Thu Jun 04 09:53:55 UTC 2026","Thu Jun 04 09:53:55 UTC 2026","42","testcases","test_order","","","","test_get_order_list",""
"passed","Thu Jun 04 09:53:56 UTC 2026","Thu Jun 04 09:53:56 UTC 2026","24","testcases","test_order","","","","test_create_order_except[test_cre购物车id不存在]",""
"passed","Thu Jun 04 09:53:55 UTC 2026","Thu Jun 04 09:53:55 UTC 2026","36","testcases","test_brand","","","","test_delete_brand_by_name[del_test正常删除品牌]",""
"passed","Thu Jun 04 09:53:56 UTC 2026","Thu Jun 04 09:53:56 UTC 2026","23","testcases","test_product","","","","test_get_product[test_-1]",""
"passed","Thu Jun 04 09:53:56 UTC 2026","Thu Jun 04 09:53:56 UTC 2026","10","testcases","test_order","","","","test_create_order_except[test_cre地址id为null]",""
"passed","Thu Jun 04 09:53:54 UTC 2026","Thu Jun 04 09:53:54 UTC 2026","26","testcases","test_brand","","","","test_get_brand[test_1]",""
"passed","Thu Jun 04 09:53:55 UTC 2026","Thu Jun 04 09:53:56 UTC 2026","324","testcases","test_order","","","","test_create_order",""
"passed","Thu Jun 04 09:53:54 UTC 2026","Thu Jun 04 09:53:54 UTC 2026","20","testcases","test_brand","","","","test_get_brand[test_-1]",""
"passed","Thu Jun 04 09:53:56 UTC 2026","Thu Jun 04 09:53:56 UTC 2026","40","testcases","test_product","","","","test_get_product_list",""
"passed","Thu Jun 04 09:53:54 UTC 2026","Thu Jun 04 09:53:54 UTC 2026","114","testcases","test_brand","","","","test_get_brand_list",""
"passed","Thu Jun 04 09:53:54 UTC 2026","Thu Jun 04 09:53:54 UTC 2026","27","testcases","test_brand","","","","test_get_brand[test_0]",""
"passed","Thu Jun 04 09:53:54 UTC 2026","Thu Jun 04 09:53:54 UTC 2026","17","testcases","test_brand","","","","test_create_brand_by_name[cre_test品牌logo为null]",""
"passed","Thu Jun 04 09:53:56 UTC 2026","Thu Jun 04 09:53:56 UTC 2026","41","testcases","test_order","","","","test_create_order_except[test_cre购物车id为null]",""
"passed","Thu Jun 04 09:53:57 UTC 2026","Thu Jun 04 09:53:57 UTC 2026","38","testcases","test_product","","","","test_delete_product_by_sn[del_test正常删除商品]",""
"passed","Thu Jun 04 09:53:54 UTC 2026","Thu Jun 04 09:53:54 UTC 2026","112","testcases","test_brand","","","","test_update_brand_by_name[upd_test正常更新品牌]",""
"passed","Thu Jun 04 09:53:54 UTC 2026","Thu Jun 04 09:53:54 UTC 2026","24","testcases","test_brand","","","","test_create_brand_by_name[cre_test请求体缺少必要参数]",""
"passed","Thu Jun 04 09:53:55 UTC 2026","Thu Jun 04 09:53:55 UTC 2026","14","testcases","test_brand","","","","test_delete_brand_by_name[del_test删除不存在品牌]",""
"passed","Thu Jun 04 09:53:57 UTC 2026","Thu Jun 04 09:53:57 UTC 2026","39","testcases","test_product","","","","test_update_product_by_sn[upd_test参数为空]",""
"passed","Thu Jun 04 09:53:54 UTC 2026","Thu Jun 04 09:53:54 UTC 2026","45","testcases","test_brand","","","","test_get_brand[test_abc@]",""
"passed","Thu Jun 04 09:53:57 UTC 2026","Thu Jun 04 09:53:57 UTC 2026","35","testcases","test_product","","","","test_update_product_by_sn[upd_test参数输入错误]",""
"passed","Thu Jun 04 09:53:55 UTC 2026","Thu Jun 04 09:53:55 UTC 2026","46","testcases","test_brand","","","","test_update_brand_by_name[upd_test参数为空]",""
"passed","Thu Jun 04 09:53:56 UTC 2026","Thu Jun 04 09:53:56 UTC 2026","16","testcases","test_product","","","","test_get_product[test_99999999999999999]",""
"passed","Thu Jun 04 09:53:54 UTC 2026","Thu Jun 04 09:53:55 UTC 2026","66","testcases","test_brand","","","","test_update_brand_by_name[upd_test更新不存在]",""
"passed","Thu Jun 04 09:53:56 UTC 2026","Thu Jun 04 09:53:56 UTC 2026","15","testcases","test_product","","","","test_create_product_by_sn[cre_test参数输入错误]",""
"passed","Thu Jun 04 09:53:56 UTC 2026","Thu Jun 04 09:53:56 UTC 2026","15","testcases","test_order","","","","test_create_order_without_login",""
"passed","Thu Jun 04 09:53:56 UTC 2026","Thu Jun 04 09:53:56 UTC 2026","15","testcases","test_product","","","","test_get_product[test_0]",""
"passed","Thu Jun 04 09:53:54 UTC 2026","Thu Jun 04 09:53:54 UTC 2026","68","testcases","test_brand","","","","test_create_brand_by_name[cre_test空品牌名称]",""
"passed","Thu Jun 04 09:53:56 UTC 2026","Thu Jun 04 09:53:56 UTC 2026","71","testcases","test_product","","","","test_update_product_by_sn[upd_test正常更新商品]",""
"passed","Thu Jun 04 09:53:54 UTC 2026","Thu Jun 04 09:53:54 UTC 2026","85","testcases","test_brand","","","","test_create_brand_by_name[cre_test正常创建品牌]",""
"passed","Thu Jun 04 09:53:56 UTC 2026","Thu Jun 04 09:53:56 UTC 2026","9","testcases","test_order","","","","test_create_order_except[test_cre地址id为字符串]",""
"passed","Thu Jun 04 09:53:54 UTC 2026","Thu Jun 04 09:53:54 UTC 2026","41","testcases","test_brand","","","","test_get_brand[test_99999999999999999]",""
"passed","Thu Jun 04 09:53:56 UTC 2026","Thu Jun 04 09:53:56 UTC 2026","44","testcases","test_product","","","","test_get_product[test_1]",""
"passed","Thu Jun 04 09:53:55 UTC 2026","Thu Jun 04 09:53:55 UTC 2026","0","testcases","test_order","","","","test_portal_login","简单的登录测试，用于验证 portal_auth_token fixture 是否工作"
"passed","Thu Jun 04 09:53:56 UTC 2026","Thu Jun 04 09:53:56 UTC 2026","19","testcases","test_order","","","","test_create_order_except[test_cre购物车id为9999999]",""
"passed","Thu Jun 04 09:53:56 UTC 2026","Thu Jun 04 09:53:56 UTC 2026","150","testcases","test_product","","","","test_create_product_by_sn[cre_test商品为null]",""
